Shop,Location,Open Since,Contact
"<a href=""https://thesourcebulkfoods.com.au"" target=""_blank"">The Source Bulk Foods

<img src=""https://www.bepakt.com/images/logo_the_source_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/australia.png"" style=""width:20px; padding-right:2px;""> <b>Australia</b>

<b>30+ Shops
[<a href=""https://thesourcebulkfoods.com.au/all-our-stores"" target=""_blank"">Store Locator</a>]</b>","(?)-May-2011
(Juice bar with
40 bulk bins in
<i>Byron Bay</i>)

?-May-2012
(Packaging-free shop
in <i>Mullumbimby</i>)","<a href=""http://www.thesourcebulkfoods.com.au"" target=""_blank"">www.thesourcebulkfoods.com.au</a>
<a href=""mailto:info@thesourcebulkfoods.com.au"">info@thesourcebulkfoods.com.au</a>

<a href=""https://www.facebook.com/TheSourceBulkFoods"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/SourceBulkFoods"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/thesourcebulkfoods/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/LaSpesaAllaSpina/"" target=""_blank"">Q.B. -<br>Quanto Basta alla Spina

<img src=""https://bepakt.com/wp-content/uploads/2018/03/Q.B.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/QB+Catering+e+Banqueting/@41.8968339,12.5116603,17z/data=!3m1!4b1!4m5!3m4!1s0x132f619a37aa5f49:0x8b1abefee2f9e832!8m2!3d41.8968299!4d12.5138543?hl=it"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Roma [00185]
<i>Via dei Latini, 31</i>
","8-Jul-2011

<b><span style=""color:red""> Closed 2017(?)</span></b>
","+39 329 658 5921

<a href=""https://www.facebook.com/LaSpesaAllaSpina/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""http://www.asaspice.com"" target=""_blank"">AŠĀ Spice

<img src=""https://www.bepakt.com/images/logo_asa_spice_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/denmark.gif"" style=""width:20px; padding-right:2px;""> <b>Denmark</b>

<a href=""https://www.google.com/maps/place/ĀŠĀ+Spice/@55.683738,12.5676873,17z/data=!3m1!4b1!4m5!3m4!1s0x4652530512f446e1:0x68fd98fe70591178!8m2!3d55.683738!4d12.569876"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Copenhagen
[1363, København K]
<i>Linnésgade 17</i>",3-Sep-2011,"<a href=""http://asaspice.com"" target=""_blank"">www.asaspice.com</a>
<a href=""mailto:asa@asatrading.dk"">asa@asatrading.dk</a>

<a href=""https://www.facebook.com/ASAspice"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://instagram.com/asa_spice"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
"<a href=""http://www.thesoapdispensary.com/"" target=""_blank"">The Soap Dispensary

<img src=""https://www.bepakt.com/images/logo_thesoapdispensary_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.com/maps/place/The+Soap+Dispensary/@49.2517481,-123.1028737,17z/data=!3m1!4b1!4m2!3m1!1s0x548673fa55d064dd:0x490e98ac92d3076b""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Vancouver, BC
[V5V 3N7]
<i>3718 Main St</i>",1-Oct-2011,"<a href=""http://www.thesoapdispensary.com""  target=""_blank"">www.thesoapdispensary.com</a>
<a href=""mailto:info@thesoapdispensary.com"">info@thesoapdispensary.com</a>
+1 604.568.3141

<a href=""https://www.facebook.com/The-Soap-Dispensary-266253066720178""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/soapdispensary""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://instagram.com/explore/locations/10566384/""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://ca.linkedin.com/in/stewart-lampe"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>"
"<a href=""https://sites.google.com/site/tuttosfusoaltamura/"" target=""_blank"">Tutto Sfuso

<img src=""https://bepakt.com/images/logo_tutto_sfuso.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://wego.here.com/directions/mix//TUTTO-SFUSO,-via-Santeramo,-32,-70022-Altamura,-Italy:e-eyJuYW1lIjoiVFVUVE8gU0ZVU08iLCJhZGRyZXNzIjoidmlhIFNhbnRlcmFtbywgMzIsIEFsdGFtdXJhIiwibGF0aXR1ZGUiOjQwLjgyODg0LCJsb25naXR1ZGUiOjE2LjU1NTk2LCJwcm92aWRlck5hbWUiOiJmYWNlYm9vayIsInByb3ZpZGVySWQiOjIzMDgyNzAxNjk1MTcxNX0=?map=40.82884,16.55596,15,normal&fb_locale=it_IT"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a>Altamura (Bari) [70022]
<i>via Santeramo, 32</i>
",22-Nov-2011,"<a href=""https://sites.google.com/site/tuttosfusoaltamura/"" target=""_blank"">www.tuttosfusoaltamura.it</a>
<a href=""mailto:tutto.sfuso@libero.it"">tutto.sfuso@libero.it</a>
+39 334 905 4750

<a href=""https://www.facebook.com/TUTTO-SFUSO-230827016951715/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/TUTTOSFUSO"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/ilgranaiodievaenadia/"" target=""_blank"">Il Granaio di Eva e Nadia

<img src=""https://bepakt.com/images/logo_il_granaio.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://wego.here.com/italia/vicenza/_/il-granaio-di-eva-e-nadia--e-eyJuYW1lIjoiSWwgR3JhbmFpbyBkaSBFdmEgZSBOYWRpYSIsImFkZHJlc3MiOiJWaWEgQWxlc3NhbmRybyBWb2x0YSwgMjMgKHpvbmEgU2FuIE1hcmNvKSwgVmljZW56YSIsImxhdGl0dWRlIjo0NS41NTQwNDk5LCJsb25naXR1ZGUiOjExLjU0MTA0LCJwcm92aWRlck5hbWUiOiJmYWNlYm9vayIsInByb3ZpZGVySWQiOjI5MTA1Mjg4NzU5NDE2M30=?map=45.55405,11.54104,15,normal&fb_locale=it_IT"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Vicenza
<i>Via Alessandro Volta, 23 
(zona San Marco)</i>
",19-Nov-2011,"<a href=""mailto:ilgranaio.vi@gmail.com"">ilgranaio.vi@gmail.com</a>

<a href=""https://www.facebook.com/ilgranaiodievaenadia/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>
"
"<a href=""http://www.casaperris.com/Torras/index.jsp"" target=""_blank"">Casa Perris

<img src=""https://bepakt.com/images/logo_casa_perris.png"" height=50 width=70></a>

","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

<a href=""https://www.google.com/maps?q=casa+perris&client=safari&rls=en&biw=1222&bih=729&dpr=1&um=1&ie=UTF-8&sa=X&ved=0ahUKEwj0rv3nitPaAhUJyKQKHZw-BswQ_AUICigB"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Barcelona [08003]
<i>Plaça Comercial, 2</i>
",5-Dec-2011,"<a href=""http://www.casaperris.com/Torras/index.jsp"" target=""_blank"">www.casaperris.com</a>
<a href=""mailto:info@casaperris.com"">info@casaperris.com</a>
+34 933 19 55 48

<a href=""https://www.facebook.com/Casa-Perris-354414434571907/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>

"
"<a href=""http://www.granel.cat"" target=""_blank"">Granel

<img src=""https://www.bepakt.com/images/logo_granel_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

<a href=""https://www.google.com/maps/place/Granel+Vic/@41.93131,2.25356,17z/data=!3m1!4b1!4m2!3m1!1s0x12a52704b6942ce1:0x97920092092f454d"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Vic 
<a href=""https://www.google.com/maps/place/Granel/@41.2203274,1.5352017,17z/data=!4m2!3m1!1s0x12a38b3b54e553b9:0x8b6cf5578170da2"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Tarragona 
<a href=""https://www.google.com/maps/place/Granel+Sant+Cugat/@41.5048717,2.2617383,12z/data=!4m5!1m2!2m1!1sgranel+sant+cugat!3m1!1s0x12a496c328a362ad:0xa70491e574b4d647"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Sant Cugat 
<a href=""https://www.google.com/maps/place/Granel/@41.2203274,1.5352017,17z/data=!3m1!4b1!4m2!3m1!1s0x12a38b3b54e553b9:0x8b6cf5578170da2"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> El Vendrell 
<a href=""https://www.google.com/maps/place/Granel+Ses+Voltes/@40.002257,3.8390883,17z/data=!3m1!4b1!4m2!3m1!1s0x12be03677a6ccdb9:0x1488b8696c0296ef"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Ciutadella (Balear Islands)
<a href=""https://www.google.com/maps/place/Granel+Bilbao/@43.2630426,-2.9434598,17z/data=!3m1!4b1!4m2!3m1!1s0xd4e5025f14d1a39:0x42d670352d66e223"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Bilbao 
<a href=""https://www.google.com/maps/place/Granel/@41.2233223,1.722958,17z/data=!3m1!4b1!4m2!3m1!1s0x12a386fc9ae5d395:0xc5d62bc9f08a6a5f"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Vilanova i la Geltrú
<a href=""https://www.google.com/maps/place/Carrer+d'Albacete,+46007+València,+Valencia,+Spain/@39.46368,-0.3837554,17z/data=!3m1!4b1!4m2!3m1!1s0xd604f3789210d71:0x449233ae8aee11b2"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> <b><i>Caldes de Montbuí
(central contact)</i></b>
<a href=""https://www.google.com/maps/place/Granel+Donosti/@43.3149978,-1.9820654,17z/data=!3m1!4b1!4m2!3m1!1s0xd51a5568b48527f:0x8e28616b8bc3ea74"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Donostia 
<a href=""https://www.google.com/maps/place/Carrer+de+Montserrat,+120,+08140+Caldes+de+Montbui,+Barcelona,+Spain/@41.632337,2.171384,17z/data=!4m5!3m4!1s0x12a4c1ba5a26dc35:0x429b3316bb22405b!8m2!3d41.6323369!4d2.1713836?hl=en-US"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Valencia 
<a href=""https://www.google.com/maps/place/Av.+Valent%C3%ADn+Masip,+24,+33013+Oviedo,+Asturias,+Spain/@43.362295,-5.862077,16z/data=!4m13!1m7!3m6!1s0xd368d1b56baf073:0x102203e9d44db6af!2sAv.+Valent%C3%ADn+Masip,+24,+33013+Oviedo,+Asturias,+Spain!3b1!8m2!3d43.3622953!4d-5.8620774!3m4!1s0xd368d1b56baf073:0x102203e9d44db6af!8m2!3d43.3622953!4d-5.8620774?hl=en-US"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Oviedo
<a href=""https://www.google.com/maps/place/Carrer+Gran+de+Sant+Andreu,+126,+08030+Barcelona,+Spain/@41.430399,2.1896614,15.84z/data=!4m13!1m7!3m6!1s0x12a4bcda03563bc3:0x6d2323f2d682b2d4!2sCarrer+Gran+de+Sant+Andreu,+126,+08030+Barcelona,+Spain!3b1!8m2!3d41.4310932!4d2.1895479!3m4!1s0x12a4bcda03563bc3:0x6d2323f2d682b2d4!8m2!3d41.4310932!4d2.1895479?hl=en-US"" target=""_blank""> <img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Barcelona - St. Andreu
<a href=""https://www.google.com/maps/place/Granel+Gijón/@43.5399229,-5.6582181,17z/data=!3m1!4b1!4m5!3m4!1s0xd367c7cb5e7d571:0x11d648f9d750e819!8m2!3d43.539919!4d-5.6560241"" target=""_blank""> <img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Gijón
<a href=""https://www.google.com/maps/place/GRANEL+Gràcia/@41.4018749,2.1557181,17z/data=!4m8!1m2!2m1!1sgranel+gracia!3m4!1s0x12a4a2bef6f3e21b:0x7b89d1c78896699!8m2!3d41.4036811!4d2.1613904"" target=""_blank""> <img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Barcelona - Gràcia
<a href=""https://www.google.com/maps/place/Carrer+d'Entença,+191,+08029+Barcelona,+Spain/@41.3850912,2.1410078,17z/data=!3m1!4b1!4m5!3m4!1s0x12a4987f22acdb4f:0x4402b85780c14f9e!8m2!3d41.3850872!4d2.1432018"" target=""_blank""> <img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=10 height=10></a> Barcelona - Eixample","21-Dec-2011
(in Vic)","<a href=""http://www.granel.cat"" target=""_blank"">www.granel.cat</a>
<a href=""mailto:info@granel.cat"">info@granel.cat</a>
+34 930 139 433

<a href=""https://www.facebook.com/GRANEL-249659088425377"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""https://verdessenza.wordpress.com"" target=""_blank"">Verdessenza Ecobottega

<img src=""https://www.bepakt.com/images/logo_verdessenzaecobottega_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Verdessenza+Eco+Bottega/@45.0598519,7.6814603,17z/data=!3m1!4b1!4m2!3m1!1s0x47886d681d7238e1:0x4feb4897d91ee048"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Turin (Torino) [10125]
<i>Via S. Pio V 20,</i>",4-Feb-2012,"<a href=""https://verdessenza.wordpress.com"" target=""_blank"">verdessenza.wordpress.com</a>
<a href=""mailto:sandra.mazzotta@gmail.com"">sandra.mazzotta@gmail.com</a>
+39 011 819 8187

<a href=""https://www.facebook.com/Verdessenza-Ecobottega-259533090778159"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://plus.google.com/109798244091474093177/about"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googleplus_150.png"" width=15 height=15></a> <a href=""https://verdessenza.wordpress.com"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_wordpress_300.png"" width=15 height=15></a> "
"<a href=""http://www.sprecomeno.it"" target=""_blank"">Sprecomeno 

<img src=""https://www.bepakt.com/images/logo_sprecomeno_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>
<a href=""https://www.google.com/maps/place/SprECOmeno/@45.91145,13.1798883,17z/data=!3m1!4b1!4m2!3m1!1s0x477bb7f38b65b1bb:0x988d3371379ad901"" target=""_blank"">
<img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a>Castions di Strada [33050]
<i>Via Udine, 55</i>

<a href=""https://www.google.com/maps/place/Via+Udine,+81,+33010+Feletto+Umberto+UD,+Italy/@46.1,13.2132313,17z/data=!3m1!4b1!4m2!3m1!1s0x477a35a692592877:0xc42cacb20faa1521"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a>Tavagnacco
Feletto Umberto [33010]
<i>Via Udine, 81</i>",14-Apr-2012,"<a href=""http://www.sprecomeno.it"" target=""_blank"">www.sprecomeno.com</a>
<a href=""mailto:info@sprecomeno.it"">info@sprecomeno.it</a>

Castions Di Strada:
+394 32 76 94 63
Feletto Umberto:
+394 32 57 52 52

<a href=""https://www.facebook.com/sprecomeno""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/sprecomeno_"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://newsite.qbsenigallia.it"" target=""_blank"">Bioemporio Quanto Basta

<img src=""https://bepakt.com/images/logo_bio_emporio_quanto_basta_senigallia_.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/QB+Senigallia+-+Alimentari+Biologico+Quanto+Basta/@43.71781,13.2131477,17z/data=!4m13!1m7!3m6!1s0x132d737725c94873:0xd55ba11084c8bf9a!2sVia+Annibal+Caro,+32,+60019+Senigallia+AN,+Italia!3b1!8m2!3d43.7178061!4d13.2153417!3m4!1s0x132d733c5e6fd197:0x3acee182930764b!8m2!3d43.717846!4d13.215293"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Senigallia (Ancona) [60019]
<i>Via Annibal Caro, 32</i>
",(?)-May-2012,"<a href=""http://newsite.qbsenigallia.it"" target=""_blank"">www.newsite.qbsenigallia.it</a>
<a href=""mailto:info@qbsenigallia.it"">info@qbsenigallia.it</a>
<a href=""mailto:info@ridottibene.it"">info@ridottibene.it</a>
+39 071 660298 
+39 373 754 6029

<a href=""https://www.facebook.com/pg/qbsenigallia/photos/?ref=page_internal"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/QBSenigallia/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://plus.google.com/+QBSenigalliaRidottiBene"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googleplus_150.png"" width=15 height=15></a>"
"<a href=""http://in.gredients.com/"" target=""_blank"">in.gredients

<img src=""https://www.bepakt.com/images/logo_ingredients_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_states.gif"" style=""width:20px; padding-right:2px;""> <b>United States </b>

<a href=""https://www.google.com/maps?ll=30.285299,-97.714604&z=14&t=h&hl=en-US&gl=US&mapclient=embed&daddr=2610+Manor+Rd+Austin,+TX+78722@30.285278,-97.7146339""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Austin, TX [78722]
<i>2610 Manor Road</i>",4-Aug-2012,"<a href=""http://in.gredients.com"" target=""_blank"">in.gredients.com</a>
<a href=""mailto:feedback@in.gredients.com"">feedback@in.gredients.com</a>
+1 512 275 6357

<a href=""http://www.facebook.com/ingredients.io"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/in_gredients"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://instagram.com/in_gredients"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/pub/joshua-blaine/14/4b6/501"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>
<a href=""https://www.youtube.com/user/ingredientsATX"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a> <a href=""http://www.yelp.com/biz/in-gredients-austin"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_yelp.png"" width=15 height=15></a> <a href=""https://foursquare.com/v/ingredients/4e20597088774a43b75e0133"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_foursquare_150.png"" width=15 height=15></a> 

 <a href=""https://www.indiegogo.com/projects/in-gredients"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_indiegogo_300.png"" width=15 height=15></a> (2010)
<a href=""https://www.indiegogo.com/projects/grow-in-gredients--2#/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_indiegogo_300.png"" width=15 height=15></a> (2017)"
"<a href=""http://gradegracia.cat"">Gra de Gràcia

<img src=""https://www.bepakt.com/images/logo_gradegracia_1000.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

<a href=""https://www.google.com/maps/place/Carrer+de+Puigmart%C3%AD,+11,+08012+Barcelona,+Spanje/@41.4015304,2.1590545,17z/data=!3m1!4b1!4m2!3m1!1s0x12a4a2bdf05e6a61:0x1c6249fe9f2669ea"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Barcelona [08012]
<i>Puigmartí 11</i>

<a href=""https://www.google.com/maps?client=safari&rls=en&q=gra+de+gràcia+08012+Barcelona,+Spain&biw=1165&bih=931&bav=on.2,or.&bvm=bv.146496531,d.d2s&um=1&ie=UTF-8&sa=X&ved=0ahUKEwiO6ZbplYXSAhVEvRoKHYYED5IQ_AUICCgD"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Barcelona [08012]
<i>Asturies 26</i>

<a href="""" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Barcelona [08012]
<i>Carrer del Cigne 10</i>",24-Sep-2012,"<a href=""http://gradegracia.cat/"" target=""_blank"">www.gradegracia.cat</a>
info@gradegracia.cat
+34 932 10 28 46

<a href=""https://www.facebook.com/Gra-de-gràcia-755965524444698"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/gradegracia/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>  <a href=""https://www.instagram.com/gradegracia/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.google.com/+gradegràciaBarcelona/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googleplus_150.png"" width=15 height=15></a> <a href=""https://www.flickr.com/photos/131116695@N03/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_flickr_150.png"" width=15 height=15></a>"
"<a href=""http://newleafcoop.co.uk"" target=""_blank"">The New Leaf
Co-Op

<img src=""https://www.bepakt.com/images/logo_newleaf_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" style=""width:20px; padding-right:2px;""> <b>United Kingdom</b>

<a href=""https://www.google.com/maps/place/The+New+Leaf+Co-op/@55.9385664,-3.1915822,17z/data=!3m1!4b1!4m2!3m1!1s0x4887c777ef877c0f:0xb584df745db7c825"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Edinburgh
[EH9 1JJ]
<i>23 Argyle Place</i>","8-Oct-2012
[<a href=""http://newleafcoop.co.uk/the-new-leafs-one-year-birthday-bash/"" target=""_blank"">source</a>]","<a href=""http://newleafcoop.co.uk"" target=""_blank"">www.newleafcoop.co.uk</a>
+44 13 12 28 85 48

<a href=""https://www.facebook.com/TheNewLeafCoop"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/NewLeafCoopShop""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.buzzbnk.org/newleafcoop"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_buzzbnk_300.png"" width=15 height=15></a> "
"<a href=""http://www.lospacciotuttosfuso.it"" target=""_blank"">Lo Spaccio Tutto Sfuso

<img src=""https://bepakt.com/images/logo_lo_spaccio_tutto_sfuso.png"" height=80 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/Lo+Spaccio/@43.8696671,10.252391,20z/data=!4m13!1m7!3m6!1s0x12d5a1fba7345f03:0x304c4549fd85eae2!2sVia+Giacomo+Matteotti,+221,+55049+Viareggio+LU,+Italia!3b1!8m2!3d43.8697701!4d10.2526404!3m4!1s0x12d5a1fba7345f03:0x60136188d41e019b!8m2!3d43.8697701!4d10.2526404"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Viareggio [55049]
<i>Via Matteotti, 23</i>

",12-Oct-2012,"<a href=""http://www.lospacciotuttosfuso.it"" target=""_blank"">www.lospacciotuttosfuso.it</a>
<a href=""mailto:info@lospacciotuttosfuso.it"">info@lospacciotuttosfuso.it</a>
<a href=""mailto:lospaccio@yahoo.it"">lospaccio@yahoo.it</a>
+39 0584 184 1010

<a href=""https://www.facebook.com/lospaccio.tuttosfuso.3/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""http://www.le-relais-du-triporteur.be"" target=""_blank"">Le Relais du triporteur

<img src=""https://www.bepakt.com/images/logo_le_relais.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Le+Relais+du+Triporteur/@50.7941196,4.4165509,17z/data=!3m1!4b1!4m5!3m4!1s0x47c3dadb5888d46d:0x95b2722306eb39bb!8m2!3d50.7941196!4d4.4187396"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Boitsfort [1170]
<i>Rue Middelbourg, 120 & 124</i>",24-Okt-2012,"<a href=""http://www.le-relais-du-triporteur.be"" target=""_blank"">www.le-relais-du-triporteur.be</a>
info@le-relais-du-triporteur.be
+32 2 675 07 77

<a href=""https://www.facebook.com/Le-Relais-du-triporteur-100106830105268/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
